ACCOUNT_NAME,Sum_Sales,Date,QTY
Optum,2900,31/07/2018,
Fidelity Investments,5039,12/08/2020,
Commonwealth Bank of Australia,5862,05/05/2018,
Drogaria S?o Paulo S/A,8341,11/06/2021,
Sevenground B.V.,2517,20/04/2017,
MCGILL AND PARTNERS SERVICES LTD,7748,08/10/2022,
Kongsberg Defence & Aerospace AS,4497,18/12/2021,
The Real Good Food Company LLC,3637,07/06/2022,
MYHERITAGE LTD,38906,15/09/2023,
"DPS Holdings, Inc.",5195,21/09/2020,
"Redbox Automated Retail, LLC",500,16/09/2016,
"Continuus Technologies, LLC",2500,04/11/2015,
Darden Corporation,72219,28/12/2020,
Pepper Money Limited,20427,23/06/2022,
OP Financial Group,4086,03/06/2019,
UNIVERSITY OF NOTTINGHAM (THE),4681,21/02/2018,
Human Data Associates,2625,30/05/2017,
Unilever Canada Inc,12387,01/12/2016,
ZABKA POLSKA S A,0,15/02/2022,
Sealed Air Corporation,24509,09/09/2021,
DBS Bank (Hong Kong) Limited,8832,13/10/2020,
Collins Aerospace,4676,20/05/2022,
Kuwait Investment Office,18707,16/12/2022,
Treasury Board of Canada Secretariat,9239,15/03/2022,
Clarity Insights,2500,09/12/2017,
PNC Bank,5039,11/02/2020,
AE Business Solutions,2500,30/03/2018,
"Itron, Inc.",6232,17/12/2014,
B I Spatial LLC,2543,26/02/2015,
Johnson & Johnson,3868,04/10/2017,
PACIFIC LIFE RE SERVICES LIMITED,2854,31/08/2022,
Copa Airlines,8985,16/12/2014,
LUMEN TECHNOLOGIES EUROPE LIMITED,5271,29/09/2023,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,154112,17/04/2021,
"Zimmer Biomet Holdings, Inc.",83660,01/06/2022,
"RYOHIN KEIKAKU CO., LTD.",8463,01/09/2020,
"Firstgroup America, Inc.",4961,18/10/2021,
"Christiana Care Health Services, Inc.",2845,18/05/2018,
Aya Gold & Silver Inc,5236,02/06/2022,
"Nike, Inc.",201410,11/12/2016,
Johnson & Johnson,12804,23/12/2019,
DEPARTMENT OF TRANSPORT AND MAIN ROADS,6283,04/06/2020,
Proquire LLC,50400,07/09/2018,
Les Schwab Tire Centers,3896,20/04/2023,
MERLIN NETWORK COMPANY LIMITED,16943,03/09/2022,
The Net Lease Group,1295,19/01/2015,
Bayer U.S. LLC,5039,29/01/2020,
"General Atlantic Service Company, L.P.",3557,09/09/2022,
Gaseosas Posada Tobon S.A.,20780,11/06/2019,
The Members Group LLC,40833,31/10/2016,
"Micron Technology, Inc.",87822,07/05/2022,
Kellanova,5195,26/09/2019,
The Dairy Farm Company Limited,28749,20/09/2021,
"Oak Street Health MSO, LLC",3995,09/01/2019,
United Health Group,3995,23/02/2019,
STANDARD CHARTERED BANK - SG,5385,07/10/2022,
Prospection,3967,11/07/2020,
FIL India Business and Research Services Pvt. Ltd,25975,03/07/2020,
NATIONAL GRID PLC,10121,16/10/2017,
"Inogen, Inc.",7040,10/03/2022,
Adani Global FZE,3740,01/12/2018,
Time Warner Cable Inc.,5194,30/06/2016,
Collins Aerospace,28056,30/01/2023,
John Swire & Sons (H.K.) Limited,9356,04/01/2021,
Kiloo,5847,14/04/2016,
University of Tasmania,0,24/05/2018,
Adidas AG (HZO),5510,06/11/2021,
"NANJING CHERVON INDUSTRY CO., LTD.",6234,31/01/2021,
The Coca-Cola Company,11379,01/04/2018,
Iron Mountain Inc.,11970,30/06/2023,
"Cochez Y Cia, S.A.",19877,15/12/2023,
"PepsiCo, Inc.",5038,09/12/2016,
Deloitte Touche Tohmatsu India Pvt. Ltd.,54630,01/10/2018,
Zoetis US LLC,11695,20/06/2019,
J. Martinelli Sociedade de Advogados,5153,01/06/2022,
"Chick-fil-A, Inc.",4049,07/07/2017,
Lennox International Inc.,169440,28/02/2019,
"loanDepot.com, LLC",169043,27/12/2017,
"PepsiCo, Inc.",23378,21/12/2018,
Raytheon Company,4935,14/02/2022,
FRV Services Mexico S. de R.L. de C.V.,0,03/12/2022,
Oregon International Air Freight Company Inc,5195,11/01/2020,
HCA-Hospital Corporation of America,9844,14/02/2024,
Nationwide Mutual Insurance Co.,3995,30/07/2015,
York Space Systems LLC,5195,31/01/2024,
Wake Forest University Baptist Medical Center,2696,01/05/2019,
ViewRay Technologies Inc,4922,16/03/2023,
Capgemini Sverige AB,2500,22/09/2017,
Corporación Favorita,92401,08/09/2023,
Peter Appel Transport B.v.,2941,12/12/2016,
"Omnicom Media Group Holdings, Inc.",8453,30/06/2016,
CLISTAT CONSEIL,5997,20/06/2021,
Yamana Gold Inc,10387,25/05/2016,
Velositi Group Pty Ltd,2240,08/02/2016,
Zoetis US LLC,6500,20/06/2023,
NN Insurance Eurasia N.V,5837,28/09/2019,
Pfizer Inc.,26791,16/10/2021,
Norwegian Petroleum Directorate,0,14/02/2019,
Factoring Security SA,3896,15/04/2023,
Toyota Motor Sales USA Inc,9914,13/12/2021,
Br?drene A & O Johansen A/S,3377,31/10/2018,
Carnegie Mellon University,11695,12/06/2019,
"Amazon.com Services, Inc.",20001,14/02/2020,
Fonecta Oy,13026,30/09/2017,
AGL Sales Pty Limited,104176,28/03/2024,
CPB Contractors Pty Limited,5067,04/06/2020,
NTT DATA GDS PVT. LTD,3637,18/06/2019,
Smith & Nephew Orthopaedics AG,3880,03/08/2020,
MPG Operations LLC,16381,09/08/2016,
Luxottica of America Inc.,176549,16/05/2023,
EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.,27750,28/12/2018,
"Takeda Pharmaceuticals U.S.A., Inc",4935,01/09/2022,
EMIRATES DISTRICT COOLING EMICOOL L.L.C,3637,04/07/2022,
OCP REPARTITION,3565,13/12/2022,
Consumers Credit Union,14510,27/10/2016,
"Citrix Systems, Inc.",28357,30/11/2016,
"Expensify, Inc.",1530,21/03/2024,
"Tabs Group, Inc.",3396,17/06/2018,
Mitre 10 (New Zealand) Limited,9231,14/11/2019,
"Volkswagen Group of America, Inc.",35846,19/06/2023,
"MGM Resorts International Operations, Inc.",25975,08/03/2024,
Banner Health,5195,15/03/2019,
"MITSUI SUMITOMO INSURANCE COMPANY, LIMITED",4314,01/12/2023,
Eclass Chile SA,3247,15/02/2017,
"WithumSmith+Brown, PC",14806,18/06/2022,
JPMorgan Chase UK,5061,01/12/2017,
Cummins Brasil Ltda.,3216,20/05/2024,
"Snapmedtech, Inc. dba SnapNurse",3616,27/04/2022,
The Coca-Cola Company,3140,14/08/2018,
DANONE ARGENTINA S.A.,8936,01/07/2024,
"Material Holdings, LLC",10000,13/10/2017,
Cart Away Concrete,1295,09/01/2017,
JCDECAUX FRANCE,22082,25/12/2021,
Hewlett Packard Enterprise Company,4935,03/11/2023,
The Dreyfus Corporation,15000,30/09/2015,
Bank of America Merrill Lynch,150000,16/11/2018,
Telstra International Limited,14027,15/02/2024,
"Capital One Services, LLC",20875,26/10/2015,
General Electric Company,1975,16/04/2018,
Johnson & Johnson,20693,17/06/2020,
Booz Allen Hamilton,4676,19/02/2024,
Siemens AG,164718,01/12/2022,
Viking River Cruises AG,0,18/03/2019,
Singapore Airlines Limited,5825,01/07/2023,
Portland General Electric Company,5039,27/03/2018,
Crown Castle USA Inc.,57330,14/12/2019,
"General Mills, Inc",258888,01/01/2024,
FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,3637,26/03/2020,
United States Olympic Committee Inc,3746,18/12/2015,
Havas Media,24105,30/09/2023,
"American Heart Association, Inc.",4430,29/09/2023,
"Johnson Controls, Inc.",5039,06/09/2018,
"Owens Illinois General, Inc.",5195,01/01/2023,
National Trust,6475,16/08/2019,
Haircare Group,13784,03/08/2021,
"McDonald's (China) Co., Ltd",3117,15/04/2020,
DUBAI WORLD TRADE CENTER LLC,4676,13/08/2018,
"Tripadvisor, Inc.",4987,23/06/2020,
Roche Diagnostics Corporation,2000,30/11/2015,
Curo Management LLC,99990,01/01/2015,
Express LLC,5137,01/05/2020,
Office of Naval Research,7431,31/03/2020,
Target Corporation,15585,16/03/2018,
Data Chemistry Inc.,3146,15/11/2022,
Exxonmobil Global Services Company,4676,15/12/2020,
"Nike, Inc.",10386,17/05/2016,
Colorado HealthOp,3116,25/03/2015,
Andel Holding A/S,8837,01/12/2021,
PerkinElmer U.S. LLC,4948,28/09/2021,
AECOM,0,14/06/2018,
Seagate Technology LLC,3995,26/06/2016,
"Allergan USA, Inc.",69094,15/12/2021,
"United Tactical Systems, LLC",8187,21/02/2023,
WA Department of Health,2273,12/11/2015,
"Qorvo US, Inc.",255829,29/04/2023,
Johnson & Johnson,12804,24/08/2020,
Caterpillar Inc.,32474,15/12/2020,
Prospection,2098,11/07/2017,
Im Pro Makeup NY L.P.,3455,31/10/2023,
"W. W. Grainger, Inc.",21907,15/06/2022,
Telstra Corporation Limited,5233,13/01/2017,
Collins Aerospace,14026,21/06/2023,
NOVO NORDISK PHARMA LTD.,12740,05/12/2021,
CREDIT AGRICOLE SA,220590,01/01/2024,
Thomson Reuters Holdings Inc.,-18754,30/07/2022,
URGO LTD,4601,02/02/2017,
Crown Castle USA Inc.,320421,14/12/2023,
Bertel O Steen Industri AS,6312,07/12/2021,
Montana Family Pharmacies,5195,17/08/2021,
Whitley Penn LLP,5091,01/04/2023,
"Pe?a Verde, S.A.B.",14027,16/09/2022,
"Bridgestone Americas, Inc.",7990,05/07/2016,
Protedyne Corporation,5195,30/03/2018,
Saint Louis University,4156,03/12/2019,
"Harley-Davidson, Inc.",32091,03/04/2022,
"EITI SERVIS, OOO",2500,26/07/2016,
Jersey Financial Services Commission,4321,01/01/2021,
JD SPORTS FASHION PLC,3954,20/03/2022,
ViaSat Inc.,77969,01/09/2021,
"Corpay Technologies Operating Co, LLC.",15585,04/05/2021,
"Amazon.com Services, Inc.",5039,28/01/2020,
"CHANGE, GROW, LIVE",13619,23/08/2021,
"Material Holdings, LLC",4330,18/11/2022,
State Street Corporation,5039,12/01/2018,
SKANSKA UK PLC,25539,15/04/2024,
WM MORRISON SUPERMARKETS P L C,6183,22/07/2020,
Raiffeisen Software GmbH,0,01/03/2019,
"Novavax, Inc.",17273,29/03/2022,
"Gome Electric Appliance Retailing Co., Ltd.",3896,30/07/2021,
THE ROYAL BANK OF SCOTLAND INTERNATIONAL LTD,9849,29/09/2019,
Hogg Robinson Plc,4317,18/02/2020,
"Cengage Learning, Inc.",78224,13/11/2017,
Nordic Tyre Group AB,6312,25/10/2021,
Kellanova,4922,29/07/2024,
NTT COMMUNICATIONS CORPORATION,12090,01/07/2020,
Direct Line Insurance Services Ltd,5459,01/03/2022,
MONOMEROS COLOMBO VENEZOLANOS S A,8660,01/06/2021,
PepsiCo,4184,23/02/2024,
Spendrups Bryggeri AB,4717,10/09/2022,
"Pioneer Natural Resources USA, Inc.",87890,29/07/2019,
Goodfood Market Corp.,21829,31/03/2023,
"GE Medical Systems Information Technologies, Inc.",1916,21/05/2018,
"Becton, Dickinson and Company",4713,04/03/2022,
Kemet Corporation,7800,31/05/2016,
"Fallon Community Health Plan, Inc.",110900,01/04/2019,
"BayCare Health System, Inc.",5195,31/03/2022,
Deere & Company,5195,30/04/2021,
CLIPPD LIMITED,3678,11/12/2023,
Okuma America Corporation,4572,28/08/2023,
Concord Music Group,29365,06/01/2024,
ARVIND LIFESTYLE BRANDS LIMITED,8312,10/09/2018,
Sony Music Entertainment International Services GmbH,386276,30/06/2021,
"Franklin Templeton Companies, LLC",15585,30/06/2021,
Johnson & Johnson,4268,03/05/2019,
Educational Media Foundation,5195,03/01/2022,
Jpmorgan Chase & Co,5038,17/04/2018,
Daimler Truck North America LLC,24806,01/06/2022,
STANDARD CHARTERED BANK - SG,5007,08/09/2022,
PT. TIMAH TBK,4156,01/12/2023,
Exxonmobil Global Services Company,10390,22/11/2023,
Biogen Idec Inc.,5039,12/08/2020,
COLLIERS INTERNATIONAL UK PLC,31811,01/10/2022,
"AT&T Services, Inc.",5194,27/02/2016,
Worldpay LLC.,28053,15/03/2020,
SONOVATE LIMITED,3521,19/03/2023,
Verizon Communications Inc.,4217,01/12/2021,
TUI Travel Group Solutions Limited,33438,30/09/2015,
GASAG AG,16506,03/01/2024,
NBN CO LIMITED,2616,21/07/2016,
GALAPAGOS INC.,3146,15/10/2022,
"PepsiCo, Inc.",20151,07/12/2017,
SFR Advisors Oy,5184,01/07/2024,
Tryg A/S,11003,24/03/2023,
Newmont USA Limited,5091,08/03/2024,
"Analog Devices gen. Trias, Inc.",4779,31/05/2024,
Navig8 Europe Ltd,3338,10/05/2021,
Department of Museums Malaysia,3896,16/11/2021,
"Bread Financial Payments, Inc.",15585,30/10/2021,
"HOULIHAN LOKEY, INC.",10390,08/02/2021,
"Carter Machinery Company, Incorporated",128306,31/01/2023,
General Motors Company,10000,29/04/2016,
"Kyowa Kirin Co.,Ltd.",8918,01/09/2021,
Antes Groep,6712,14/10/2017,
CHRISTUS Health System,15585,25/09/2020,
"Ckh Cpas and Advisors, LLC",4676,14/05/2024,
BPR REIT SERVICES LLC,4548,19/11/2018,
PwC Tax Japan,6750,31/07/2017,
United Neighborhood Health Services,5766,29/12/2017,
DEVTOOLS,2500,01/12/2017,
DEPARTMENT OF TRANSPORT AND MAIN ROADS,2598,18/09/2019,
Husky Oil Operations Limited,0,16/10/2017,
"Securian Financial Group, Inc",9351,21/03/2019,
Molson Coors Canada,11765,28/05/2022,
Equipmentshare.com Inc,10390,29/09/2023,
TEPCO SYSTEMS CORPORATION,8524,01/06/2024,
Siemens AG,11324,16/10/2019,
Sociedade de Ensino Superior Estacio de S A,7278,17/05/2019,
Sinai Labs,5195,06/10/2023,
"Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensi",0,25/09/2020,
ESTEE LAUDER PANAMA VENTURES S. DE R.L,119259,01/07/2023,
Highmark Health Solutions Inc.,6706,27/06/2018,
Hong Kong Metropolitan University,9368,01/01/2024,
E.ON Digital Technology GmbH,3870,16/12/2016,
"Principal Consulting Group, LLC",4156,08/04/2022,
Agrícola Famosa Ltda.,3938,01/08/2017,
Volkswagen do Brasil Ltda,19686,06/03/2018,
Danmarks Radio,4045,20/06/2022,
ReportLinker,10374,19/09/2016,
"SHAW INDUSTRIES GROUP, INC.",5091,08/03/2023,
Jpmorgan Chase & Co,5038,28/10/2016,
Loparex LLC,5195,08/06/2022,
Chubb Tempest Life Reinsurance Ltd,15585,01/12/2022,
"Rent-A-Center Texas, L.P",28730,30/06/2021,
SG360,11857,27/06/2022,
TD Insurance,16572,28/02/2019,
AUCHAN RETAIL SERVICES,74939,03/12/2019,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,137427,23/04/2024,
Alzheimer's Association,3896,01/02/2023,
"Insight Sourcing Group Holdings, Inc.",10500,08/01/2021,
"Charter Communications Operating, LLC",5039,16/07/2019,
"Wasserman Media Group, LLC",0,04/05/2018,
Ritchie Bros Auctioneers (Canada) Ltd.,28441,27/02/2024,
NTT DATA Services Finland Oy,2809,17/06/2019,
Transport for NSW,14326,21/06/2017,
HP International Sarl,3621,03/02/2017,
UNITED DRUG (WHOLESALE) LIMITED,7872,16/02/2023,
FAA - Airports (ARP),28054,06/01/2022,
"CBRE, Inc",4676,29/02/2024,
"Moore Venture Capital, LLC",3637,08/02/2023,
"Okta, Inc.",5195,15/05/2023,
"Autodesk, Inc.",10390,18/06/2021,
"Media Markt Saturn Administracion Espana, S.A. UNI",5556,02/07/2023,
FIL India Business and Research Services Pvt. Ltd,3886,14/10/2021,
Expo City Dubai FZCO,3896,07/10/2021,
Synthes GmbH,4268,15/06/2020,
Xellia Pharmaceuticals ApS,1998,06/08/2018,
Banco Inter S A,2998,13/12/2022,
HealthLift,3520,15/07/2020,
LPL Financial LLC,4589,23/06/2021,
Barbados Revenue Authority,10390,28/02/2024,
PT. MOWILEX INDONESIA,4156,06/10/2023,
The Nielsen Company,38634,29/05/2015,
BNP PARIBAS,-9455,31/03/2020,
Vita-Mix Management Corporation,15585,15/07/2022,
"Integrated Supply Network, LLC",4935,31/03/2022,
AGCO International GmbH,3823,01/10/2021,
London North Eastern Railway,12345,14/01/2021,
"Veracode, Inc.",14027,20/12/2019,
Dollarama L.P.,5813,12/08/2021,
Carrefour Brazil,24475,11/06/2022,
MEDIACOM UK LIMITED,41274,15/01/2019,
Refinitiv US LLC,22079,13/02/2023,
Super Retail Group Services Pty Ltd,12472,14/11/2018,
FIL INVESTMENT MANAGEMENT LTD,19320,04/03/2019,
Jamef Transportes EIRELI,2539,30/06/2021,
"PepsiCo, Inc.",5038,18/01/2018,
GEOXIA,4670,17/11/2019,
Gap Limited,51886,14/01/2024,
Commonwealth Bank of Australia,23604,04/05/2021,
"United Parcel Service, Inc.",15117,21/03/2021,
Aesop Auto Parts,4676,22/12/2023,
My Guardian Group,0,30/06/2020,
OUSD (A&S),108528,28/09/2018,
NBN CO LIMITED,4606,11/02/2016,
"Mattel, Inc.",26462,01/04/2020,
Metro Water Recovery,45525,22/02/2024,
"Fanatics LLC f/k/a Fanatics, Inc.",165726,01/03/2021,
Allianz Life Insurance Company of North America,19975,05/12/2018,
Triadex Services,15699,01/01/2024,
TNS Global c/o Kantar UK Limited,75000,31/12/2014,
A TREND BILGI TEKNOLOJILERI AHMET LEVENT YALDIZ,2797,21/03/2016,
Pareto Inc.,2996,27/10/2014,
Interpath Ltd,242237,31/12/2022,
Abbott Ireland,4312,20/07/2023,
"Marmon Holdings, Inc.",10390,27/02/2023,
"Factual Data, Inc.",30000,16/02/2015,
Celgene Corporation,33166,31/12/2017,
Department of Administrative Services of State of Ohio,46800,01/12/2019,
The Whiting-Turner Contracting Company,102455,10/02/2024,
JMA Data Analytics LLC,60602,02/01/2024,
"TEPCO ENERGY PARTNER,INCORPORATED",9351,27/03/2020,
Syngene International,1840,25/09/2023,
IPSOS (PTY) LTD,7065,01/07/2020,
A. Duie Pyle,3637,25/03/2024,
PARTY CITY HOLDINGS INC.,14546,30/04/2023,
"Applied Geographics, Inc.",5195,11/05/2021,
Cradlepoint Inc.,86039,14/08/2023,
"Supplylogic, LLC",10390,01/09/2023,
Novartis Pharma AG,4052,21/11/2017,
CHRISTUS Health System,20780,25/09/2021,
Morehouse Institute,4000,23/09/2016,
"Siemens Energy, Inc.",5039,22/09/2017,
Oxford University Press,15166,24/09/2020,
eBay GmbH,5455,19/05/2017,
BDO Services Pty Ltd,4053,12/06/2020,
Ericsson Inc.,60824,30/09/2017,
"SUMITOMO MITSUI CARD COMPANY,LIMITED",31711,10/05/2023,
Homeriver Group,7274,22/06/2022,
PAUL HARTMANN AG,5362,15/05/2024,
Shift 365,3478,09/09/2019,
Castolin Eutectic GmbH,2996,09/03/2018,
MANAWA ENERGY LIMITED,8621,08/08/2021,
Environics Analytics Group Ltd,5100,03/04/2014,
Omega Geraç?o S/A,4895,19/02/2022,
"Cohen & Company, Ltd.",42404,29/10/2023,
"STUPP BROS., INC.",4074,01/05/2019,
ESSELUNGA SPA,14668,28/03/2019,
Wells Fargo & Company,11344,15/11/2019,
"Beijing MoJi FengYun Technology Co., Ltd.",2597,12/04/2016,
COG Operating LLC,10390,07/09/2020,
Macy's Credit & Customer Services,18975,31/12/2015,
"Cargill, Incorporated",4081,15/02/2018,
LGC LIMITED,20848,09/06/2024,
CENTRICA SERVICES LIMITED,4822,17/01/2020,
I-MED Network,3317,17/05/2019,
"Social Finance, Inc.",20780,30/09/2022,
Canada Post Corporation,6049,01/05/2018,
GLUEDATA - MASTER DATA SOLUTIONS (PTY) LTD,2597,29/02/2016,
"DIRECTV, LLC",9941,01/07/2022,
Verizon Communications Inc.,4283,02/03/2021,
MANCHESTER CITY FOOTBALL CLUB LIMITED,2992,11/07/2017,
Telstra International Limited,329553,01/07/2020,
INCHCAPE MOTORS PRIVATE LIMITED,5329,01/03/2021,
Gates Corporation,4961,03/09/2022,
THE ASSOCIATION OF INDEPENDENT SCHOOLS OF NEW SOUTH WALES LIMITED,7187,11/05/2023,
SINGAPORE INSTITUTE OF TECHNOLOGY,82791,24/04/2020,
Humana Inc.,67130,29/01/2021,
The Ablaze Group Inc,2500,24/06/2016,
Gates Corporation,10078,06/03/2018,
InsightOne Nordic AB,11700,31/03/2018,
"L'Oreal Usa, Inc.",5039,31/03/2021,
"Mjh Healthcare Holdings, LLC",3896,08/04/2022,
UNIVERSITY OF CAMBRIDGE,28046,30/04/2021,
Emergency Medical Services Authority,777,14/04/2018,
"All Points Media, LLC",1075,,
"FAStek Compliance Solutions, Inc.",3637,25/02/2022,
The Taubman Company LLC,10390,01/06/2024,
"BMC Software, Inc.",8835,24/03/2022,
IVF HARTMANN AG,5709,27/04/2020,
Prokura Komplementarselskab ApS,5253,24/09/2019,
"Wells Fargo Bank, N.A.",15117,25/04/2019,
"Dun and Bradstreet, Inc.",22675,23/10/2017,
Starbucks Coffee Asia Pacific Limited,6432,02/03/2024,
Broadridge Analytics Solutions Ltd,19442,07/03/2023,
Verizon Communications Inc.,8566,12/02/2021,
COMPUTERSHARE TECHNOLOGY SERVICES PTY LTD,9427,20/02/2024,
St. Joseph Health Systems,35085,28/11/2018,
CHAILEASE HOLDING COMPANY LIMITED,8313,24/01/2023,
The Coca-Cola Company,5200,17/02/2023,
The Regents of the University of California on behalf of UCLA Health,5195,18/05/2019,
Banco Inter S A,62422,16/10/2021,
Plus-scoutskring Chama Urafiki,3610,01/05/2020,
"Reyes Holdings, L.L.C.",4156,26/02/2021,
Emerson Group,15585,16/11/2023,
LEIDOS AUSTRALIA PTY LTD,8395,31/03/2023,
"TRANSPORTATION INSIGHT, LLC",30575,17/09/2022,
Western Alliance Bank,9871,15/12/2023,
Honeywell Brazil,3875,15/05/2015,
VERIZON AUSTRALIA PTY LIMITED,8315,27/09/2023,
ORNUA FOODS UK LIMITED,8216,01/07/2023,
CSpring,6508,12/07/2021,
"RECRUIT LIFESTYLE CO., LTD.",4888,02/06/2020,
Seagate Technology LLC,7990,31/03/2016,
Royal Institution for the Advancement of Learning / McGill University,8097,25/12/2017,
Presidio Networked Solutions LLC,771667,17/11/2023,
"TTI, Inc.",14027,28/06/2020,
"PrimeSource Building Products, Inc.",19975,31/07/2019,
"Capital One Services, LLC",7991,04/03/2016,
Barclaycard,9333,31/01/2018,
"Nanostring Technologies, Inc.",10390,19/12/2022,
Rogers Communications Canada Inc.,10275,28/10/2020,
"Coca-Cola Beverages Northeast, Inc.",4416,11/09/2020,
"Cargill, Incorporated",50971,29/06/2019,
CNX Resources Corporation,10390,01/02/2019,
WILSON Sporting Goods,4634,09/12/2022,
Elasticsearch Inc.,14546,27/06/2019,
Honeywell International Inc.,5193,31/03/2016,
Peak Financial Services,5679,19/11/2022,
Exxonmobil Global Services Company,10390,31/07/2023,
"GENON ENERGY, INC.",6234,21/09/2018,
State of Ohio - Ohio Department of Insurance,14027,12/03/2021,
"1248 Holdings, LLC",25330,01/04/2024,
"Upland Capital Group, Inc.",5195,01/04/2023,
Taxtech & Business Solutions,4156,13/03/2023,
Discount Dance LLC,5195,09/02/2018,
"NIKE Sports (China) Co., Ltd.",2597,18/03/2016,
Booz Allen Hamilton,4676,28/02/2021,
"Emerson Ecologics, LLC",17988,27/06/2014,
"ExxonMobil BSC Canada, ULC",5155,23/03/2020,
"Start.ca, a division of TELUS Communications Inc.",20023,06/05/2022,
N2G Worldwide Insurance Services LLC,4550,23/03/2023,
"Optumrx, Inc.",7990,31/07/2017,
Operationally LLC,4156,31/08/2023,
Sammons Enterprises,3701,04/02/2023,
Sabemi Seguradora S A,2695,21/09/2020,
Pfizer Inc.,3868,16/06/2017,
Axis Business Insight,14575,19/04/2017,
Hilcorp Energy Company,6909,18/12/2021,
"Consumer Orbit, LLC",5195,20/03/2023,
PT Quad Sinergi Teknologi,2432,01/12/2019,
"Charter Communications Operating, LLC",4961,12/08/2022,
NEUCA S.A.,13793,28/01/2021,
Human Data Associates,4405,29/12/2016,
"MetLife, Inc.",200000,01/11/2016,
"Burns & McDonnell Engineering Company,Inc.",4571,02/03/2023,
Rabobank,2996,29/10/2018,
State of Colorado - Colorado Department of Education,9351,31/12/2022,
UNIVERSITY OF CAMBRIDGE,5212,12/04/2022,
"Trimark Usa, LLC",10412,08/10/2021,
APTIV GLOBAL OPERATIONS,19864,28/02/2022,
STRYKER EUROPEAN OPERATIONS LIMITED,15182,29/09/2019,
ROCHE PRODUCTS LIMITED,5446,05/02/2019,
"CRH Americas Materials, Inc.",0,22/08/2020,
"NetApp, Inc.",5195,20/02/2020,
Datacom Systems (AU) Pty Ltd,286536,01/07/2018,
"Spring Venture Group, LLC (SVG)",10390,16/08/2022,
"Comcast Navy Acquisition, LLC",4693,01/03/2017,
Capgemini Sverige AB,2790,22/09/2019,
AWARE SUPER PTY LTD,4816,31/01/2024,
Children's Medical Center of Dallas,14806,11/02/2022,
Blue Cross and Blue Shield of North Carolina,500000,15/06/2017,
Australian Financial Crimes Exchange Ltd,9474,09/05/2018,
"ADP, Inc.",3637,14/11/2022,
AGCO Corporation,4051,26/02/2020,
NSW Government - Department of Finance Service & Innovation,58916,14/10/2018,
SNCF RESEAU,9123,26/09/2023,
BRIDGESTONE CORPORATION,5558,30/11/2020,
"Wells Fargo Bank, N.A.",4962,06/09/2021,
Alight Solutions LLC,16884,29/10/2021,
"Solari, Inc.",3896,18/09/2020,
Virgin Media Limited,9588,13/10/2017,
"FURUNO ELECTRIC CO., LTD.",73439,06/01/2024,
Bank of America Merrill Lynch,3100,30/09/2017,
MSCI Inc.,29767,05/10/2021,
Höegh Autoliners Management AS,6085,17/10/2022,
COCA-COLA ENTERPRISES EUROPE LTD,16669,01/08/2019,
ANGLO AMERICAN SOUTH AFRICA LTD,1553,29/09/2023,
Dallas Independent School District,1790,07/02/2018,
Sagen Mortgage Insurance Company Canada,134226,31/03/2023,
Boldyn Networks US Operations LLC,156195,01/04/2024,
Davidson Kempner Capital Management LP,9945,22/03/2024,
Novartis Pharmaceuticals Corporation,7910,31/07/2017,
Costco Wholesale Corporation,890572,30/11/2019,
UNIVERSITY OF NOTTINGHAM (THE),3238,03/05/2019,
HDI AG,0,05/12/2018,
Estee Lauder Inc.,4922,05/11/2023,
HENKEL CORPORATION,10390,01/03/2024,
Exxonmobil Global Services Company,5195,07/09/2024,
DEPARTMENT OF PLANNING & ENVIRONMENT/ NSW government,0,13/10/2020,
Heineken USA,5038,23/01/2017,
Florida State University,8416,01/11/2019,
Cheonan City,4156,28/02/2023,
Keurig Dr Pepper,18703,23/12/2017,
CopperPoint Insurance Company,20780,15/06/2022,
Opinionlab Inc,5194,09/07/2014,
Proquire LLC,41600,29/11/2017,
AUDAX MANAGEMENT COMPANY LLC,5195,27/06/2023,
LEGO SYSTEM A/S,33364,18/12/2020,
Roche Diagnostics Corporation,19975,15/08/2015,
Amplified Digital Agency LLC,16895,02/03/2022,
MYLAN INSTITUTIONAL INC.,4499,05/08/2019,
AUSTRALIAN COMMISSION FOR LAW ENFORCEMENT INTEGRITY,3348,01/10/2023,
The Hershey Co.,3969,28/06/2021,
"Industrial Developments International, LLC",13247,06/01/2023,
Thermo Fisher Scientific,0,01/09/2021,
"Amazon.com Services, Inc.",10078,15/06/2021,
Delta Dental of California,5195,15/06/2022,
"PPG Industries, Inc.",9352,28/09/2021,
"Expedia, Inc.",35194,01/04/2022,
Suffolk Construction,36365,30/04/2023,
Ramirent AB,5728,25/05/2023,
Primoris Services Corporation,76440,15/12/2023,
"Camelot Communications, Ltd.",3948,22/01/2024,
"Bms Intermediaries, Inc.",35103,22/10/2022,
City of Detroit - Department of General Services,14027,13/05/2021,
"KYOCERA COMMUNICATION SYSTEMS CO.,LTD.",10904,16/06/2020,
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6392000,21/12/2024,
T.A. Associates,3898,24/09/2019,
